lemma,plural,stem_final,opportunity,ur,predicted_sr,attested_sr,category,normalisations,ipa_edit,feature_edit,rule_edit,total_distance,cluster
absolventă,absolvente,t,e,apsolvente,apsolvente,absolvente,RULE_FAILURE,,1.0,0.0,0,0.2,
accent,accente,t,e,aksənte,aksənte,akt͡ʃente,RULE_FAILURE,,4.0,0.0,0,0.8,
acetat,acetați,t,i,əsətaTi,əsətat͡sj,at͡ʃetat͡si,RULE_FAILURE,,6.0,0.0,0,1.2,
acoperemânt,acopereminte,t,e,akoperemɨnte,akoperemɨnte,akopereminte,RULE_FAILURE,,1.0,0.0,0,0.2,
acoperământ,acoperăminte,t,e,akoperəmɨnte,akoperəmɨnte,akoperəminte,RULE_FAILURE,,1.0,0.0,0,0.2,
acostament,acostamente,t,e,əkustəmene,əkustəmene,akostamente,RULE_FAILURE,,4.0,3.0,0,2.3,
acostat,acostaturi,t,uri,əkustaturi,əkustaturj,akostaturi,RULE_FAILURE,,3.0,0.0,0,0.6,
acrescământ,acrescăminte,t,e,akreskəmɨnte,akreskəmɨnte,akreskəminte,RULE_FAILURE,,1.0,0.0,0,0.2,
addenda,addende,d,e,ədende,ədende,addende,RULE_FAILURE,,2.0,0.0,0,0.4,
adsorbat,adsorbați,t,i,at͡sorbaTi,at͡sorbat͡sj,adsorbat͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
advocat,advocați,t,i,ədbukaTi,ədbukat͡sj,advokat͡si,RULE_FAILURE,,4.0,0.0,0,0.8,
adău,adăuri,d,uri,adəuuri,adəuurj,adəuri,RULE_FAILURE,,2.0,0.0,0,0.4,
afectuozitate,afectuozitatăți,t,i,afektuozitaTi,afektuozitat͡sj,afektuozitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
aghios,aghioase,s,e,aɡiose,aɡiose,aɡioase,RULE_FAILURE,,1.0,0.0,0,0.2,
agrogeolog,agrogeologi,g,i,aɡroɡeoloGi,aɡroɡeolod͡ʒj,aɡrod͡ʒolod͡ʒi,RULE_FAILURE,,4.0,0.0,0,0.8,
ajustabilitate,ajustabilitatăți,t,i,aʒustabilitaTi,aʒustabilitat͡sj,aʒustabilitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
albaiuliancă,albaiulience,c,e,albajulianKe,albajuliant͡ʃe,albaiulient͡ʃe,RULE_FAILURE,,2.0,0.0,0,0.4,
aleurit,aleurite,t,e,alewrite,alewrite,aleurite,RULE_FAILURE,,1.0,0.0,0,0.2,
algeriancă,algerience,c,e,ald͡ʒerianKe,ald͡ʒeriant͡ʃe,ald͡ʒerient͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
alivancă,alivenci,c,i,alivanKi,alivant͡ʃj,alivent͡ʃi,RULE_FAILURE,,2.0,0.0,0,0.4,
allemandă,allemande,d,e,alemande,alemande,allemande,RULE_FAILURE,,1.0,0.0,0,0.2,
alpenștoc,alpenștocuri,c,uri,alpenʃtokuri,alpenʃtokurj,alpenʃtokuri,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,1,0.3,
alunică,alunele,c,e,aluniKe,alunit͡ʃe,alunele,ICA_SUPPLETION,,4.0,6.0,0,3.8,
amerindiancă,amerindience,c,e,amerindianKe,amerindiant͡ʃe,amerindient͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
amiaz,amieze,z,e,amiaze,amiaze,amieze,RULE_FAILURE,,1.0,0.0,0,0.2,
amiază,amiezi,z,i,amjazi,amjazj,amiezi,RULE_FAILURE,,3.0,0.0,0,0.6,
ancheta,anchetez,t,e,anketae,anketae,anketez,RULE_FAILURE,,2.0,3.0,0,1.9,
antricot,antricoate,t,e,antrikote,antrikote,antrikoate,RULE_FAILURE,,1.0,0.0,0,0.2,
apetit,apetituri,t,uri,əpətituri,əpətiturj,apetituri,RULE_FAILURE,,3.0,0.0,0,0.6,
apologet,apologeți,t,i,apoloɡeTi,apoloɡet͡sj,apolod͡ʒet͡si,RULE_FAILURE,,4.0,0.0,0,0.8,
apostat,apostați,t,i,əpustaTi,əpustat͡sj,apostat͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
apărământ,apărăminte,t,e,apərəmɨnte,apərəmɨnte,apərəminte,RULE_FAILURE,,1.0,0.0,0,0.2,
arbitraritate,arbitraritatăți,t,i,arbitraritaTi,arbitraritat͡sj,arbitraritatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
arbuz,arbuji,z,i,arbuzi,arbuzj,arbuʒi,RULE_FAILURE,,2.0,2.0,0,1.4,
argentiniancă,argentinience,c,e,ard͡ʒentinianKe,ard͡ʒentiniant͡ʃe,ard͡ʒentinient͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
argințică,argințele,c,e,,,ard͡ʒint͡sele,UR_BUILD_FAILED,,,,,,
ascendent,ascendenți,t,i,əsəndenTi,əsəndent͡sj,ast͡ʃendent͡si,RULE_FAILURE,,6.0,0.0,0,1.2,
ascultământ,ascultăminte,t,e,askultəmɨnte,askultəmɨnte,askultəminte,RULE_FAILURE,,1.0,0.0,0,0.2,
atacabilitate,atacabilitatăți,t,i,atakabilitaTi,atakabilitat͡sj,atakabilitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
atlant,atlanți,t,i,əllanTi,əllant͡sj,atlant͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
atomicitate,atomicitatăți,t,i,atomit͡ʃitaTi,atomit͡ʃitat͡sj,atomit͡ʃitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
atractivitate,atractivitatăți,t,i,atraktivitaTi,atraktivitat͡sj,atraktivitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
atracțiozitate,atracțiozitatăți,t,i,atrakt͡siozitaTi,atrakt͡siozitat͡sj,atrakt͡siozitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
augit,augite,t,e,awɡite,awɡite,aud͡ʒite,RULE_FAILURE,,4.0,0.0,0,0.8,
augment,augmente,t,e,oɡmente,oɡmente,auɡmente,RULE_FAILURE,,2.0,0.0,0,0.4,
auscultat,auscultaturi,t,uri,əwskultaturi,əwskultaturj,auskultaturi,RULE_FAILURE,,3.0,0.0,0,0.6,
australiancă,australience,c,e,australianKe,australiant͡ʃe,australient͡ʃe,RULE_FAILURE,,1.0,0.0,0,0.2,
autofertilitate,autofertilitatăți,t,i,autofertilitaTi,autofertilitat͡sj,autofertilitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
autoportret,autoportrete,t,e,awtoportrete,awtoportrete,autoportrete,RULE_FAILURE,,1.0,0.0,0,0.2,
autosterilitate,autosterilitatăți,t,i,autosterilitaTi,autosterilitat͡sj,autosterilitatət͡si,RULE_FAILURE,,3.0,0.0,0,0.6,
avers,averser,s,e,averse,averse,averser,RULE_FAILURE,,1.0,3.0,0,1.7,
aviso,avisouri,s,uri,abisouri,abisourj,avisouri,RULE_FAILURE,,2.0,0.0,0,0.4,
așezământ,așezăminte,t,e,aʃezəmɨnte,aʃezəmɨnte,aʃezəminte,RULE_FAILURE,,1.0,0.0,0,0.2,
așternut,așternuturi,t,uri,aʃternuturi,aʃternuturj,aʃternuturi,NORM_TRAILING_GLIDE,TRAILING_GLIDE,0.0,0.0,1,0.3,
babaros,babaroase,s,e,babarose,babarose,babaroase,RULE_FAILURE,,1.0,0.0,0,0.2,
babete,babeți,t,i,babet͡ʃii,babet͡ʃii,babet͡si,RULE_FAILURE,,2.0,2.0,1,1.7,
babiloneancă,babilonience,c,i,babiloneanKi,babiloneant͡ʃj,babilonient͡ʃe,RULE_FAILURE,,3.0,0.0,0,0.6,
babușcă,babuște,c,e,babuʃKe,babuʃte,babuʃte,RULE_FAILURE,,0.0,0.0,0,0.0,
balot,baloturi,t,uri,balotbaloturi,balotbaloturj,baloturi,RULE_FAILURE,,6.0,0.0,0,1.2,
barabușcă,barabuște,c,e,barabuʃKe,barabuʃte,barabuʃte,RULE_FAILURE,,0.0,0.0,0,0.0,
baratcă,baratci,c,i,baraTKi,barat͡st͡ʃj,baratt͡ʃi,RULE_FAILURE,,3.0,0.0,1,0.9,
bariz,barizuri,z,uri,ənuri,ənurj,barizuri,RULE_FAILURE,,6.0,0.0,0,1.2,
barză,berze,z,e,barze,barze,berze,RULE_FAILURE,,1.0,0.0,0,0.2,
bastiment,bastimente,t,e,bəstimene,bəstimene,bastimente,RULE_FAILURE,,2.0,3.0,0,1.9,
batardou,batardouri,d,uri,batardowuri,batardowurj,batardouri,RULE_FAILURE,,2.0,0.0,0,0.4,
bată,bete,t,e,bate,bate,bete,RULE_FAILURE,,1.0,0.0,0,0.2,
bavețică,bavețele,c,e,,,bavet͡sele,UR_BUILD_FAILED,,,,,,
bașcă,băști,c,i,baʃKi,baʃtj,bəʃti,NORM_TRAILING_GLIDE,"TRAILING_GLIDE,UNSTRESSED_SCHWA",0.0,0.0,0,0.0,
baștă,baște,t,e,baʃte,baʃte,baʃte,RULE_FAILURE,,0.0,0.0,1,0.3,
beatnic,beatnici,c,i,bitniKi,bitnit͡ʃj,beatnit͡ʃi,RULE_FAILURE,,3.0,0.0,0,0.6,
