type,N,mutated,non-mutated,rate,majority?,tolerated?,memo
NDEB?,NA,NA,NA,NA,NA,NA,
gimpe type,172,0,172,0,FALSE,FALSE,
ochi-ochi type,6,0,6,0,FALSE,FALSE,
paduche-paduchi type,7,0,7,0,FALSE,FALSE,
,NA,NA,NA,NA,NA,NA,
Dorsals,NA,NA,NA,NA,NA,NA,
<c> + <-i> plural (downsampled),28,28,0,1,TRUE,TRUE,
<c> + <-e> plural (downsampled),14,14,0,1,TRUE,TRUE,
"<c> + <-i, -e> plural (downsampled)",42,42,0,1,TRUE,TRUE,
"<c> + <-i, -e> plural, downsampled, WITH NDEB",136,110,26,0.8088235294117647,TRUE,TRUE,Full i/e domain (includes NDEB)
<g> + <-i> plural (downsampled),17,17,0,1,TRUE,TRUE,
<g> + <-e> plural (downsampled),3,3,0,1,TRUE,TRUE,
"<g> + <-i, -e> plural (downsampled)",20,20,0,1,TRUE,TRUE,
"<g> + <-i, -e> plural, downsampled, WITH NDEB",51,20,31,0.39215686274509803,FALSE,FALSE,Full i/e domain (includes NDEB)
,NA,NA,NA,NA,NA,NA,
Coronals,NA,NA,NA,NA,NA,NA,
<s> + <-i> plural (downsampled),11,11,0,1,TRUE,TRUE,
<s> + <-e> plural (downsampled),44,0,44,0,FALSE,FALSE,
"<s> + <-i, -e> plural (downsampled)",55,11,44,0.2,FALSE,FALSE,
<z> + <-i> plural (downsampled),2,1,1,0.5,NA,TRUE,
<z> + <-e> plural (downsampled),48,0,48,0,FALSE,FALSE,
"<z> + <-i, -e> plural (downsampled)",50,1,49,0.02,FALSE,FALSE,
<t> + <-i> plural (downsampled),207,207,0,1,TRUE,TRUE,
<t> + <-e> plural (downsampled),229,0,229,0,FALSE,FALSE,
"<t> + <-i, -e> plural (downsampled)",436,207,229,0.47477064220183485,FALSE,FALSE,
<d> + <-i> plural (downsampled),23,23,0,1,TRUE,TRUE,
<d> + <-e> plural (downsampled),36,0,36,0,FALSE,FALSE,
"<d> + <-i, -e> plural (downsampled)",59,23,36,0.3898305084745763,FALSE,FALSE,
,NA,NA,NA,NA,NA,NA,
Clusters,NA,NA,NA,NA,NA,NA,
<ct> + <-e> plural (downsampled),22,0,22,0,FALSE,FALSE,
"<ct> + <-i, -e> plural (downsampled)",25,3,22,0.12,FALSE,FALSE,
<ct> + <-i> plural (downsampled),3,3,0,1,TRUE,TRUE,
<sc> + <-e> plural (downsampled),1,1,0,1,TRUE,NA,
"<sc> + <-i, -e> plural (downsampled)",2,2,0,1,TRUE,TRUE,
<sc> + <-i> plural (downsampled),1,1,0,1,TRUE,NA,
"<st> + <-i, -e> plural (downsampled)",4,4,0,1,TRUE,TRUE,
<st> + <-i> plural (downsampled),4,4,0,1,TRUE,TRUE,
,NA,NA,NA,NA,NA,NA,
"Derivational (N->V, front suffix)",NA,NA,NA,NA,NA,NA,
"N->V derivation, base plural non-mut. (downsampled)",35,2,33,0.05714285714285714,FALSE,FALSE,
"N->V derivation, base plural mutated (downsampled)",28,7,21,0.25,FALSE,FALSE,
"N->V derivation, ALL (downsampled)",63,9,54,0.14285714285714285,FALSE,FALSE,
,NA,NA,NA,NA,NA,NA,
"Derivational (N->Adj, front suffix)",NA,NA,NA,NA,NA,NA,
"N->Adj derivation, base plural non-mut. (downsampled)",36,0,36,0,FALSE,FALSE,
"N->Adj derivation, base plural mutated (downsampled)",60,15,45,0.25,FALSE,FALSE,
"N->Adj derivation, ALL (downsampled)",96,15,81,0.15625,FALSE,FALSE,
