type,N,mutated,non-mutated,rate,majority?,tolerated?,memo
NDEB?,NA,NA,NA,NA,NA,NA,
gimpe type,2080,0,2080,0,FALSE,FALSE,classic NDEB
ochi-ochi type,13,0,13,0,FALSE,FALSE,NDEB if <i> is root-final; exception otherwise
paduche-paduchi type,68,0,68,0,FALSE,FALSE,NDEB in singular; plural ordering ambiguous
,NA,NA,NA,NA,NA,NA,
Dorsals,NA,NA,NA,NA,NA,NA,
<c> + <-i> plural,298,298,0,1,TRUE,TRUE,
<c> + <-e> plural,265,265,0,1,TRUE,TRUE,
"<c> + <-i, -e> plural",563,563,0,1,TRUE,TRUE,
"<c> + <-i, -e> plural, WITH NDEB",1698,1308,390,0.7703180212014135,TRUE,FALSE,Full i/e domain (includes NDEB)
<g> + <-i> plural,243,243,0,1,TRUE,TRUE,
<g> + <-e> plural,188,188,0,1,TRUE,TRUE,
"<g> + <-i, -e> plural",431,431,0,1,TRUE,TRUE,
"<g> + <-i, -e> plural, WITH NDEB",904,431,473,0.47676991150442477,FALSE,FALSE,Full i/e domain (includes NDEB)
,NA,NA,NA,NA,NA,NA,
Coronals,NA,NA,NA,NA,NA,NA,
<s> + <-i> plural,135,135,0,1,TRUE,TRUE,
<s> + <-e> plural,321,10,311,0.03115264797507788,FALSE,FALSE,
"<s> + <-i, -e> plural",456,145,311,0.31798245614035087,FALSE,FALSE,
<z> + <-i> plural,110,9,101,0.08181818181818182,FALSE,FALSE,
<z> + <-e> plural,593,0,593,0,FALSE,FALSE,
"<z> + <-i, -e> plural",703,9,694,0.012802275960170697,FALSE,FALSE,
<t> + <-i> plural,1096,1096,0,1,TRUE,TRUE,
<t> + <-e> plural,1340,4,1336,0.0029850746268656717,FALSE,FALSE,
"<t> + <-i, -e> plural",2436,1100,1336,0.451559934318555,FALSE,FALSE,
<d> + <-i> plural,189,188,1,0.9947089947089947,TRUE,TRUE,
<d> + <-e> plural,412,0,412,0,FALSE,FALSE,
"<d> + <-i, -e> plural",601,188,413,0.31281198003327787,FALSE,FALSE,
,NA,NA,NA,NA,NA,NA,
Clusters,NA,NA,NA,NA,NA,NA,
<ct> + <-e> plural,42,0,42,0,FALSE,FALSE,
"<ct> + <-i, -e> plural",50,8,42,0.16,FALSE,FALSE,
<ct> + <-i> plural,8,8,0,1,TRUE,TRUE,
<sc> + <-e> plural,10,10,0,1,TRUE,TRUE,
"<sc> + <-i, -e> plural",18,18,0,1,TRUE,TRUE,
<sc> + <-i> plural,8,8,0,1,TRUE,TRUE,
"<st> + <-i, -e> plural",22,22,0,1,TRUE,TRUE,
<st> + <-i> plural,22,22,0,1,TRUE,TRUE,
,NA,NA,NA,NA,NA,NA,
"Derivational (N->V, front suffix)",NA,NA,NA,NA,NA,NA,
"N->V derivation, base plural non-mut.",54,9,45,0.16666666666666666,FALSE,FALSE,
"N->V derivation, base plural mutated",63,33,30,0.5238095238095238,TRUE,FALSE,
"N->V derivation, ALL",191,62,129,0.32460732984293195,FALSE,FALSE,
,NA,NA,NA,NA,NA,NA,
"Derivational (N->Adj, front suffix)",NA,NA,NA,NA,NA,NA,
"N->Adj derivation, base plural non-mut.",172,16,156,0.09302325581395349,FALSE,FALSE,
"N->Adj derivation, base plural mutated",117,24,93,0.20512820512820512,FALSE,FALSE,
"N->Adj derivation, ALL",289,40,249,0.1384083044982699,FALSE,FALSE,
