lemma,pos,gender,plural,derived_verbs,derived_adj,gloss,etym_lang,source,notes,ipa_raw_lemma,ipa_raw_pl
Aviagaradoc,N,NEUT,Aviagaradoc,,,"area in the Botanica sector, of Chișinău municipality, near Chișinău International Airport",,https://en.wiktionary.org/wiki/Aviagaradoc,,,
Belfegor,N,MASC,,,,Belphegor,,https://en.wiktionary.org/wiki/Belfegor,needs plural confirmation,bel.feˈɡor,
Blagoveștenie,N,FEM,,,,Annunciation,,https://en.wiktionary.org/wiki/Blagove%C8%99tenie,needs plural confirmation,,
Drăgaică,N,FEM,Drăgaice,,,midsummer feast,,https://ro.wiktionary.org/wiki/Dr%C4%83gaic%C4%83,,drəˈgaj.kə,
Esperanto,N,NEUT,,,,,,https://en.wiktionary.org/wiki/Esperanto,needs plural confirmation,ˌɛspəˈɹæntəʊ | ˌɛspəˈɹɑːntəʊ | ˌɛspəˈɹæntoʊ | ˌɛspəˈɹɑntoʊ | -æntəʊ | -ɑːntəʊ | ˌɛs.pəˈrɑn.toː | espeˈranto | ˌɛspəˈʁanto | ʔespeˈɾanto | ʔɛs.pɛˈɾan̪.t̪o,
Florii,N,,Florii,,,Palm Sunday,la,https://ro.wiktionary.org/wiki/Florii,needs gender confirmation,,
Halloween,N,NEUT,ein,,,,,https://en.wiktionary.org/wiki/Halloween,,ˈfɒ.lə | ˈtɒ.lə | ˌha.ləˈwiːn | ˌha.ləʊˈiːn | ˌhæ.ləˈwiːn | ˌhɑ.ləˈwiːn | ˌhæ.loʊˈiːn | ɦɛ.loːˈʋin | ɦɛ.loˈwiːn | ˈhɛ.loˌwiːn | ˈhɛ.loˌviːn | ˈal.lo.win | al.loˈwin | xɛ.lɔˈin | xa.lɔˈin | ˈxɛ.lɔ.win | xɛ.lɔˈwin | ˈxa.lɔ.win | xa.lɔˈwin | ˌʁa.lo(w)ˈĩ | ˌha.lo(ʊ̯)ˈĩ | ˌʁɛ.lo(w)ˈĩ | ˌhɛ.lo(ʊ̯)ˈĩ | ˌχa.lo(ʊ̯)ˈĩ | ˌχɛ.lo(ʊ̯)ˈĩ | a.lo(w)ˈwin | a.lo(w)ˈwi.nɨ | a.lowˈwin | a.lowˈwi.nɨ | a.loˈwin | a.loˈwi.nɨ | -inɨ | ˈxalowin | ˈxa.lo.wĩn | xaloˈwin | xa.loˈwĩn,
Interpol,N,NEUT,,,,,,https://en.wiktionary.org/wiki/Interpol,needs plural confirmation,ˌʔinteɾˈpol | ˌĩ.teʁˈpɔw | ˌĩ.tehˈpɔʊ̯ | ˌĩ.teɾˈpɔw | ˌĩ.teɾˈpɔʊ̯ | ˌĩ.teχˈpɔʊ̯ | ˌĩ.teɻˈpɔw | ˌĩ.teɻˈpɔʊ̯ | ˌĩ.tɛɾˈpɔl | ˌĩ.tɛɾˈpɔɫ | ˌĩ.tɛɾˈpɔ.li,
Ispas,N,NEUT,,,,Ascension,,https://ro.wiktionary.org/wiki/Ispas,needs plural confirmation,,
Ocinaș,N,NEUT,Ocinașe,,,Lord's Prayer,,https://en.wiktionary.org/wiki/Ocina%C8%99,,,
Panzerfaust,N,NEUT,Panzerfausturi,,,"* tirul unui tun antitanc, obuzul unui Tiger, o bombă lansată de un avion sau un teribil '''Panzerfaust''', aruncătorul de grenade pe care îl poate mânui chiar și un adolescent din Tinerul hitlerist.|t=",,https://en.wiktionary.org/wiki/Panzerfaust,,ˈpantsɐˌfaʊst,
Păresimi,N,,,,,,,https://en.wiktionary.org/wiki/P%C4%83resimi,needs plural confirmation | needs gender confirmation,,
Renaștere,N,FEM,,,,renaissance,,https://en.wiktionary.org/wiki/Rena%C8%99tere,needs plural confirmation,,
Rusalii,N,,Rusalii,,,Whitsuntide; Pentecost,gkm,https://ro.wiktionary.org/wiki/Rusalii,needs gender confirmation,,
Seim,N,NEUT,seimuri,,,"Sejm, the lower house of Polish parliament.",,https://en.wiktionary.org/wiki/Seim,,,
Stretenie,N,FEM,,,,Candlemas,,https://en.wiktionary.org/wiki/Stretenie,needs plural confirmation,,
Trisfetite,N,FEM,Trisfetite,,,feast of the Three Holy Hierarchs,,https://en.wiktionary.org/wiki/Trisfetite,,,
aalenian,N,NEUT,aalenian,,,Aalenian,,https://ro.wiktionary.org/wiki/aalenian,,a.aleniˈan,
abac,N,NEUT,abace,,,abacus,,https://ro.wiktionary.org/wiki/abac,,aˈbak,
abaca,N,,,,,,,https://ro.wiktionary.org/wiki/abaca,needs plural confirmation | needs gender confirmation,aˈbaka,
abacterian,ADJ,,,,,abacterial,,https://en.wiktionary.org/wiki/abacterian,,abakteriˈan,
abacteriemic,ADJ,,,,,abacteremic,,https://en.wiktionary.org/wiki/abacteriemic,,abakteriˈemik,
abacă,N,FEM,abace,,,The abacus of a column.,,https://ro.wiktionary.org/wiki/abac%C4%83,,aˈbakə,
abager,N,MASC,abageri,,,person who sells or makes abas,,https://ro.wiktionary.org/wiki/abager,,abaˈd͡ʒer,
abageresc,ADJ,,,,,pertaining to or belonging to,,https://en.wiktionary.org/wiki/abageresc,,abad͡ʒeˈresk,
abagiu,N,MASC,abagii,,,person who sells or makes abas,,https://ro.wiktionary.org/wiki/abagiu,,a.baˈd͡ʒiw,
abagiubă,N,FEM,abagiube,,,privet,,https://en.wiktionary.org/wiki/abagiub%C4%83,,abaˈd͡ʒjubə,
abajur,N,NEUT,abajururi,,,lampshade,,https://ro.wiktionary.org/wiki/abajur,,a.baˈʒur,
